keyword,collocate,cooccurrence_frequency,cooccurrence_document_frequency,keyword_frequency,collocate_frequency,logdice
chatgpt,not,84,66,193,1297,10.851220807429236
chatgpt,use,29,27,193,351,10.770518153877234
chatgpt,research,11,8,193,68,10.431525622067413
chatgpt,asked,9,8,193,30,10.369025101522007
chatgpt,you're,11,9,193,119,10.17402939977505
chatgpt,better,11,10,193,120,10.169412771704678
chatgpt,lawyers,8,5,193,39,10.142019004872427
chatgpt,legal,9,8,193,83,10.061400544664144
chatgpt,ask,9,8,193,87,10.040641984497345
chatgpt,no,12,12,193,195,9.985049658534027
chatgpt,software,8,8,193,68,9.972094003430115
chatgpt,good,11,11,193,170,9.955605880641546
chatgpt,write,8,7,193,72,9.950151450549438
chatgpt,told,6,5,193,16,9.877603368640273
chatgpt,compliant,6,5,193,18,9.863863312013972
chatgpt,i've,8,8,193,94,9.835093073324312
chatgpt,wrong,7,6,193,63,9.807354922057604
chatgpt,think,12,12,193,249,9.797059941329724
chatgpt,help,8,8,193,104,9.785680879199234
chatgpt,therapy,6,6,193,35,9.752072486556415
chatgpt,case,7,7,193,78,9.725205880703733
chatgpt,i'm,9,7,193,168,9.674069974555142
chatgpt,hipaa,5,5,193,19,9.594007640324163
chatgpt,know,8,8,193,152,9.569547448334468
chatgpt,able,6,6,193,66,9.568154213034603
chatgpt,information,6,6,193,72,9.535113951270596
chatgpt,it's,13,12,193,420,9.440696454450311
chatgpt,replace,6,6,193,95,9.415037499278844
chatgpt,stuff,5,5,193,49,9.403064857612769
chatgpt,great,5,5,193,51,9.391190757324477
chatgpt,tools,6,6,193,100,9.39020564629891
chatgpt,used,6,6,193,113,9.327574658028505
chatgpt,sure,5,5,193,78,9.239779053533491
chatgpt,going,6,6,193,139,9.20992306937423
chatgpt,make,6,6,193,150,9.162897734548345
chatgpt,tool,5,5,193,95,9.15200309344505
chatgpt,ai,25,22,193,1424,8.984752226301064
chatgpt,cannot,5,5,193,151,8.895663340185266
chatgpt,time,5,5,193,197,8.714597781137751
chatgpt,work,5,5,193,251,8.527512228537256
check,double,13,11,70,19,12.224706287174694
check,verify,5,5,70,28,10.707218250772154
check,correct,5,5,70,48,10.439285045525521
check,sure,6,5,70,78,10.375509135092207
check,use,12,10,70,351,9.86728607765476
check,work,8,7,70,251,9.673570512877696
check,it's,12,11,70,420,9.648324561718585
check,make,5,5,70,150,9.540568381362704
check,time,6,5,70,197,9.524266569033603
check,ai,18,18,70,1424,8.624960568653076
check,not,16,15,70,1297,8.583202472393939
code,writing,16,14,145,72,11.238448767555521
code,generate,11,7,145,32,10.9918260685543
code,review,11,9,145,62,10.765944661137972
code,write,10,8,145,72,10.560376862442883
code,generated,8,5,145,39,10.476438043942988
code,existing,7,5,145,19,10.44980291743952
code,tests,7,5,145,20,10.44103270781179
code,does,14,9,145,188,10.427976554986342
code,understand,8,7,145,62,10.306513042500676
code,copy,6,5,145,18,10.236234346490079
code,good,11,8,145,170,10.160223600250019
code,complex,6,5,145,35,10.09310940439148
code,ai,52,30,145,1424,10.084810081172995
code,actually,8,5,145,98,10.07518749639422
code,job,8,5,145,100,10.063362060997429
code,time,11,8,145,197,10.041579103751399
code,level,6,5,145,48,9.992505463453075
code,use,15,10,145,351,9.952694285221643
code,copilot,5,5,145,29,9.878984599038635
code,create,5,5,145,42,9.775033634999726
code,not,38,25,145,1297,9.754072064202763
code,need,9,7,145,210,9.698249787050269
code,using,8,6,145,195,9.5906090638623
code,you're,6,5,145,119,9.540568381362704
code,human,6,6,145,136,9.45053618050023
code,it's,12,8,145,420,9.442855443418606
code,doing,5,5,145,91,9.439285045525521
code,want,5,5,145,118,9.28300910559506
code,work,6,5,145,251,8.955605880641546
context,not,16,13,39,1297,8.616295707525948
context,ai,8,7,39,1424,7.485285945861513
correct,wrong,6,6,48,63,10.79054663437105
correct,check,5,5,48,70,10.439285045525521
correct,not,15,12,48,1297,8.513500138164531
correct,ai,13,12,48,1424,8.176877762084079
documents,use,5,5,36,351,8.725738338742952
documents,ai,11,10,36,1424,7.947678964869918
documents,not,7,5,36,1297,7.426893856968631
draft,use,7,5,43,351,9.185303102601228
draft,ai,14,10,43,1424,8.288701766384214
draft,not,10,6,43,1297,7.933910809542228
errors,make,6,5,27,150,10.11735695063816
errors,it's,5,5,27,420,8.517797073704045
errors,not,8,7,27,1297,7.6293125931927825
errors,ai,7,7,27,1424,7.304523117990859
hipaa,compliant,14,12,19,18,13.597901556428655
hipaa,chatgpt,5,5,19,193,9.594007640324163
hipaa,not,12,8,19,1297,8.223018726985915
hipaa,ai,7,6,19,1424,7.312499337566406
human,want,15,7,136,118,10.918205908836352
human,touch,7,7,136,12,10.597901556428655
human,humans,7,5,136,45,10.307509034974398
human,make,11,9,136,150,10.299560281858907
human,better,9,7,136,120,10.169925001442312
human,interaction,5,5,136,8,10.15200309344505
human,replace,8,7,136,95,10.148250958583942
human,ai,53,43,136,1424,10.120590140813588
human,never,7,5,136,77,10.072645301831766
human,computer,5,5,136,27,9.973199940656285
human,review,6,5,136,62,9.955605880641546
human,replaced,5,5,136,35,9.904075580001464
human,need,10,7,136,210,9.887299867250638
human,no,9,9,136,195,9.799237594635095
human,tools,6,6,136,100,9.702319451359315
human,based,5,5,136,62,9.692571474807753
human,cannot,7,6,136,151,9.642447995381916
human,not,34,27,136,1297,9.602639946988194
human,without,5,5,136,79,9.573735245297902
human,does,7,6,136,188,9.46750491917298
human,data,6,5,136,143,9.460841188891969
human,code,6,6,136,145,9.45053618050023
human,think,7,7,136,249,9.21864028647534
human,it's,9,7,136,420,9.050983928718804
human,work,6,5,136,251,8.988772744576746
human,time,5,5,136,197,8.9425497278161
it's,not,183,121,420,1297,11.770025514281908
it's,ai,123,98,420,1424,11.093891564909901
it's,good,37,26,420,170,11.004882221379745
it's,use,41,32,420,351,10.766964954703049
it's,going,27,18,420,139,10.628183029320278
it's,think,32,26,420,249,10.61413759935854
it's,does,26,24,420,188,10.452512204697506
it's,tool,22,18,420,95,10.451002996566716
it's,better,22,15,420,120,10.382616021586466
it's,make,19,17,420,150,10.09310940439148
it's,cannot,19,18,420,151,10.090580578080743
it's,useful,15,11,420,46,10.042704450954238
it's,pretty,15,13,420,60,10.0
it's,you're,16,13,420,119,9.925858537247494
it's,time,18,15,420,197,9.900798322292895
it's,wrong,14,13,420,63,9.89147554322183
it's,work,19,19,420,251,9.857758557243402
it's,great,13,12,420,51,9.820856468528309
it's,doing,14,11,420,91,9.810175441119982
it's,research,13,11,420,68,9.769702380578206
it's,point,13,12,420,74,9.752072486556415
it's,know,15,11,420,152,9.747019258830129
it's,sure,13,12,420,78,9.740437786073011
it's,want,14,12,420,118,9.73589255950098
it's,using,16,13,420,195,9.735557399773398
it's,tell,12,10,420,42,9.733213459305098
it's,check,12,11,420,70,9.648324561718585
it's,hard,11,9,420,30,9.64565042742026
it's,saying,11,10,420,34,9.632883131346382
it's,i'm,14,12,420,168,9.60768257722124
it's,cases,12,9,420,84,9.60768257722124
it's,ask,12,10,420,87,9.599120563717815
it's,right,12,11,420,97,9.570942030406222
it's,different,11,10,420,65,9.537590681562808
it's,information,11,10,420,72,9.516917113298057
it's,data,12,11,420,143,9.447971388640926
it's,code,12,8,420,145,9.442855443418606
it's,chatgpt,13,12,420,193,9.440696454450311
it's,no,13,11,420,195,9.43599711791449
it's,used,11,10,420,113,9.40143989587812
it's,need,13,12,420,210,9.401231699753813
it's,writing,10,9,420,72,9.379413589548122
it's,accurate,9,7,420,25,9.372263475588552
it's,perfect,9,7,420,28,9.362570079384708
it's,i've,10,10,420,94,9.316303545693485
it's,replace,10,8,420,95,9.313499472816781
it's,said,9,8,420,54,9.281181752544054
it's,questions,9,8,420,72,9.227410496103072
it's,say,9,8,420,75,9.21864028647534
it's,new,9,8,420,90,9.175571564583453
need,not,85,59,210,1297,10.851927234539877
need,ai,75,56,210,1424,10.554626422350196
need,review,10,9,210,62,10.234465253637023
need,data,12,8,210,143,10.121438127449975
need,make,12,11,210,150,10.09310940439148
need,understand,9,8,210,62,10.082462160191973
need,you'll,8,7,210,33,10.07518749639422
need,think,15,12,210,249,10.06454025219471
need,years,9,8,210,76,10.010053664663923
need,without,9,7,210,79,9.994999318941634
need,ask,9,8,210,87,9.955605880641546
need,human,10,7,210,136,9.887299867250638
need,write,8,6,210,72,9.860448647601206
need,know,10,8,210,152,9.822082207804158
need,patient,7,6,210,54,9.762960802699151
need,going,9,9,210,139,9.72284177523266
need,help,8,5,210,104,9.705379251108372
need,different,7,5,210,65,9.704067113645582
need,code,9,7,210,145,9.698249787050269
need,sure,7,6,210,78,9.637429920615292
need,better,8,7,210,120,9.633677785754184
need,create,6,6,210,42,9.60768257722124
need,time,9,8,210,197,9.501040017176066
need,software,6,5,210,68,9.46602142799765
need,i'm,8,5,210,168,9.437757575778928
need,it's,13,12,210,420,9.401231699753813
need,replaced,5,5,210,35,9.385290155884793
need,no,8,7,210,195,9.338221902228014
need,use,11,9,210,351,9.327574658028505
need,problem,5,5,210,59,9.250465732330738
need,read,5,5,210,63,9.229170953967511
need,want,6,5,210,118,9.227410496103072
need,you're,6,6,210,119,9.223018726985915
need,real,5,5,210,66,9.213403638109193
need,does,7,5,210,188,9.170730301513956
need,work,8,8,210,251,9.151377059570663
need,new,5,5,210,90,9.09310940439148
need,job,5,5,210,100,9.045803689613125
need,that's,5,5,210,105,9.022720076500082
need,using,5,5,210,195,8.660149997115376
needs,ai,21,19,46,1424,8.870716983055033
needs,it's,6,6,46,420,8.720776356066876
needs,not,12,10,46,1297,8.193718911293715
no,there's,21,14,195,62,11.386692873584883
no,ai,67,57,195,1424,10.405201920155207
no,reason,9,8,195,33,10.33703498727757
no,trust,8,7,195,57,10.022720076500082
no,chatgpt,12,12,195,193,9.985049658534027
no,not,46,41,195,1297,9.980530135801775
no,use,16,13,195,351,9.907242859080148
no,ask,8,8,195,87,9.860448647601206
no,patient,7,6,195,54,9.847352989989524
no,matter,6,6,195,21,9.830074998557688
no,human,9,9,195,136,9.799237594635095
no,idea,6,6,195,30,9.771181309504119
no,going,8,6,195,139,9.616295707525948
no,does,9,8,195,188,9.588724419517355
no,help,7,6,195,104,9.583353247859499
no,think,10,7,195,249,9.527512228537256
no,you're,7,7,195,119,9.512734173165978
no,legal,6,6,195,83,9.46602142799765
no,it's,13,11,195,420,9.43599711791449
no,data,7,7,195,143,9.40647548577542
no,actually,6,6,195,98,9.39020564629891
no,company,5,5,195,50,9.385290155884793
no,job,6,6,195,100,9.380391356471954
no,makes,5,5,195,52,9.373560863302686
no,cannot,7,7,195,151,9.37272669442088
no,work,9,7,195,251,9.369025101522007
no,need,8,7,195,210,9.338221902228014
no,good,7,7,195,170,9.295602268290224
no,using,7,7,195,195,9.200024608307993
no,time,7,7,195,197,9.192645077942394
no,used,5,5,195,113,9.05514155419246
no,want,5,5,195,118,9.031909247954744
no,better,5,5,195,120,9.022720076500082
not,ai,484,309,1297,1424,12.508941996024916
not,does,185,117,1297,188,11.995134244828185
not,it's,183,121,1297,420,11.770025514281908
not,use,133,84,1297,351,11.36878190831797
not,know,92,63,1297,152,11.022720076500082
not,think,96,71,1297,249,10.990637896796308
not,need,85,59,1297,210,10.851927234539877
not,chatgpt,84,66,1297,193,10.851220807429236
not,work,85,70,1297,251,10.81320117999329
not,did,75,52,1297,100,10.780702385086418
not,i'm,78,57,1297,168,10.768717269552639
not,replace,67,47,1297,95,10.623145694609043
not,good,65,49,1297,170,10.503714657355065
not,going,61,46,1297,139,10.442897303739835
not,time,58,48,1297,197,10.313016562338335
not,using,56,44,1297,195,10.264323101802367
not,want,49,40,1297,118,10.148123506395963
not,you're,48,35,1297,119,10.11735695063816
not,make,49,45,1297,150,10.115860637583484
not,tool,43,29,1297,95,9.983321258853369
not,no,46,41,1297,195,9.980530135801775
not,understand,40,30,1297,62,9.913598354119971
not,job,40,27,1297,100,9.873811789477898
not,right,39,31,1297,97,9.840387372993824
not,that's,39,31,1297,105,9.832131584851625
not,say,38,32,1297,75,9.825862747270772
not,data,39,28,1297,143,9.793549122532575
not,saying,36,24,1297,34,9.79163014553042
not,code,38,25,1297,145,9.754072064202763
not,sure,36,32,1297,78,9.744709098142927
not,law,35,21,1297,75,9.707218250772154
not,help,35,28,1297,104,9.677041776514148
not,doing,34,28,1297,91,9.648670988672079
not,answer,33,27,1297,67,9.630766190334281
not,human,34,27,1297,136,9.602639946988194
not,point,32,26,1297,74,9.578987144220775
not,actually,32,23,1297,98,9.55395059328345
not,case,31,21,1297,78,9.528980407087491
not,better,31,22,1297,120,9.485572267468857
not,cases,30,18,1297,84,9.475392991350468
not,trust,29,23,1297,57,9.454968971552574
not,cannot,31,29,1297,151,9.45435042330367
not,gpt,28,21,1297,67,9.393726993033432
not,read,27,23,1297,63,9.345496566025766
not,different,27,25,1297,65,9.343376514151398
not,without,27,23,1297,79,9.32862274746137
not,used,27,26,1297,113,9.293408054877313
not,legal,26,19,1297,83,9.26998716647556
not,new,25,20,1297,90,9.206104117451122
not,i've,25,23,1297,94,9.201949485232486
output,trust,7,5,45,57,11.134929580086109
output,time,6,6,45,197,9.666099263446561
output,work,5,5,45,251,9.112474729258413
output,ai,14,12,45,1424,8.286736241501323
output,not,11,9,45,1297,8.069262662437115
place,not,9,9,34,1297,7.79163014553042
place,ai,8,8,34,1424,7.490224995673063
rely,not,14,11,24,1297,8.439940170810775
rely,ai,12,10,24,1424,8.08511661363795
review,code,11,9,62,145,10.765944661137972
review,need,10,9,62,210,10.234465253637023
review,human,6,5,62,136,9.955605880641546
review,time,7,5,62,197,9.79054663437105
review,work,7,6,62,251,9.517336075124986
review,ai,29,21,62,1424,9.320762594588976
review,not,20,16,62,1297,8.913598354119971
think,ai,117,90,249,1424,11.162142989545051
think,not,96,71,249,1297,10.990637896796308
think,it's,32,26,249,420,10.61413759935854
think,replace,15,14,249,95,10.48062584090642
think,there's,13,9,249,62,10.41966894801049
think,going,16,16,249,139,10.400087157812873
think,use,24,21,249,351,10.356143810225275
think,used,13,10,249,113,10.200593831057887
think,good,15,13,249,170,10.196084161909166
think,actually,12,11,249,98,10.146170648142895
think,that's,12,10,249,105,10.11735695063816
think,years,11,8,249,76,10.11513571072148
think,need,15,12,249,210,10.06454025219471
think,does,14,12,249,188,10.035865452557006
think,right,11,11,249,97,10.024803391000573
think,tool,10,9,249,95,9.895663340185266
think,did,10,9,249,100,9.87484486867771
think,able,9,9,249,66,9.870716983055033
think,chatgpt,12,12,249,193,9.797059941329724
think,useful,8,8,249,46,9.795428855750796
think,job,9,9,249,100,9.72284177523266
think,field,7,5,249,28,9.693612756008417
think,medicine,7,6,249,28,9.693612756008417
think,make,10,9,249,150,9.681683158665017
think,time,11,9,249,197,9.658531718716993
think,replaced,7,7,249,35,9.657607802552922
think,no,10,7,249,195,9.527512228537256
think,answer,7,7,249,67,9.503574173880502
think,work,11,11,249,251,9.493647333975211
think,safe,6,6,249,27,9.476438043942988
think,10,6,5,249,36,9.430144391669053
think,issue,6,6,249,39,9.415037499278844
think,data,8,7,249,143,9.385290155884793
think,humans,6,6,249,45,9.385290155884793
think,making,6,5,249,51,9.356143810225277
think,makes,6,6,249,52,9.351342823961454
think,help,7,5,249,104,9.343830548786425
think,different,6,5,249,65,9.29034175182953
think,point,6,6,249,74,9.24957214602723
think,human,7,7,249,136,9.21864028647534
think,new,6,6,249,90,9.179821037584812
think,know,7,7,249,152,9.159896495602684
think,definitely,5,5,249,40,9.147002412386684
think,better,6,5,249,120,9.05748549466076
think,long,5,5,249,61,9.045803689613125
think,using,7,7,249,195,9.012939055707498
think,cannot,6,5,249,151,8.94110631094643
think,i'm,6,6,249,168,8.881058927276491
time,spend,12,12,197,16,10.850252880495319
time,save,12,12,197,20,10.823411268276677
time,answer,13,10,197,67,10.656045598782638
time,saving,9,7,197,12,10.46256586936143
time,not,58,48,197,1297,10.313016562338335
time,tool,11,9,197,95,10.26960705975728
time,takes,8,5,197,23,10.21864028647534
time,read,9,8,197,63,10.147557188413858
time,know,12,9,197,152,10.137879274511505
time,does,13,10,197,188,10.111725082558829
time,code,11,8,197,145,10.041579103751399
time,ai,50,43,197,1424,9.981187814257183
time,gpt,8,6,197,67,9.955605880641546
time,i'm,11,9,197,168,9.947678964869919
time,saves,6,6,197,8,9.90548240121571
time,it's,18,15,197,420,9.900798322292895
time,stuff,7,5,197,49,9.864840416718364
time,long,7,7,197,61,9.79612766663435
time,review,7,5,197,62,9.79054663437105
time,help,8,8,197,104,9.766380323240298
time,research,7,6,197,68,9.757506372607043
time,make,9,8,197,150,9.731133148864052
time,output,6,6,197,45,9.666099263446561
time,think,11,9,197,249,9.658531718716993
time,work,11,11,197,251,9.652076696579693
time,good,9,8,197,170,9.650288748599099
time,said,6,5,197,54,9.613418946770384
time,right,7,7,197,97,9.60768257722124
time,use,13,12,197,351,9.602407635180565
time,used,7,7,197,113,9.531230516783367
time,check,6,5,197,70,9.524266569033603
time,issues,5,5,197,29,9.501749132472174
time,need,9,8,197,210,9.501040017176066
time,say,6,6,197,75,9.497499659470817
time,doing,6,6,197,91,9.415037499278844
time,i've,6,6,197,94,9.400087157812873
time,feel,5,5,197,50,9.373560863302686
time,great,5,5,197,51,9.367731784500487
time,chat,5,5,197,64,9.294022098317477
time,you're,6,6,197,119,9.281181752544054
time,write,5,5,197,72,9.250465732330738
time,no,7,7,197,195,9.192645077942394
time,actually,5,5,197,98,9.117356950638158
time,human,5,5,197,136,8.9425497278161
time,chatgpt,5,5,197,193,8.714597781137751
trust,output,7,5,57,45,11.134929580086109
trust,cannot,8,7,57,151,10.299560281858907
trust,no,8,7,57,195,10.022720076500082
trust,i'm,5,5,57,168,9.508146903670326
trust,not,29,23,57,1297,9.454968971552574
trust,use,6,5,57,351,8.912537158749661
trust,ai,11,10,57,1424,7.927075693348449
use,ai,187,125,351,1424,11.75329115060823
use,not,133,84,351,1297,11.36878190831797
use,chatgpt,29,27,351,193,10.770518153877234
use,it's,41,32,351,420,10.766964954703049
use,tools,19,15,351,100,10.430943890188205
use,work,25,22,351,251,10.410236513015022
use,think,24,21,351,249,10.356143810225275
use,tool,17,15,351,95,10.286562941330034
use,cannot,19,17,351,151,10.276383959492813
use,know,19,15,351,152,10.273512923638059
use,learn,14,7,351,35,10.214897884789524
use,you're,16,13,351,119,10.123483053435
use,generate,13,11,351,32,10.119239136216136
use,writing,14,10,351,72,10.082841068937654
use,there's,13,10,351,62,10.010441746721646
use,write,13,9,351,72,9.975925865021143
use,good,16,14,351,170,9.974860437721492
use,code,15,10,351,145,9.952694285221643
use,no,16,13,351,195,9.907242859080148
use,i'm,15,12,351,168,9.887299867250638
use,check,12,10,351,70,9.86728607765476
use,data,14,12,351,143,9.858987690472926
use,better,13,10,351,120,9.820856468528309
use,cases,12,10,351,84,9.820090909985066
use,help,12,12,351,104,9.755239765635098
use,case,11,9,351,78,9.714597781137751
use,want,12,11,351,118,9.711518388205779
use,without,11,9,351,79,9.711238769047837
use,best,10,8,351,42,9.703542592628756
use,job,11,9,351,100,9.642447995381916
use,did,11,10,351,100,9.642447995381916
use,gpt,10,8,351,67,9.61456896280648
use,time,13,12,351,197,9.602407635180565
use,stuff,9,8,351,49,9.526068811667589
use,using,12,11,351,195,9.492205359801304
use,appropriate,8,5,351,19,9.468618539483689
use,information,9,9,351,72,9.445411148322362
use,never,9,9,351,77,9.428458015041166
use,absolutely,8,8,351,33,9.415037499278844
use,trying,8,6,351,40,9.388975202692649
use,going,10,9,351,139,9.385290155884793
use,need,11,9,351,210,9.327574658028505
use,chat,8,8,351,64,9.303032473765713
use,able,8,8,351,66,9.296096426555337
use,answer,8,7,351,67,9.292640867919118
use,software,8,7,351,68,9.289193566300648
use,actually,8,8,351,98,9.189428365258852
use,does,9,9,351,188,9.095783538689806
using,ai,104,83,195,1424,11.039552447838526
using,chatgpt,23,20,195,193,10.923649113869885
using,you're,18,12,195,119,10.875304252550686
using,i've,16,10,195,94,10.825074317499322
using,i'm,19,15,195,168,10.744101775447835
using,data,15,12,195,143,10.506011159326334
using,not,56,44,195,1297,10.264323101802367
using,they're,8,7,195,40,10.123483053435
using,right,9,9,195,97,9.980100442562296
using,software,8,7,195,68,9.961081010707698
using,try,7,7,195,44,9.906488114076856
using,job,8,7,195,100,9.795428855750796
using,tools,8,7,195,100,9.795428855750796
using,copilot,6,5,195,29,9.777607578663552
using,help,8,8,195,104,9.775998325801895
using,writing,7,6,195,72,9.746658990370051
using,it's,16,13,195,420,9.735557399773398
using,good,9,6,195,170,9.658172347674933
using,tool,7,7,195,95,9.62744583204267
using,did,7,7,195,100,9.602783777808401
using,code,8,6,195,145,9.5906090638623
using,currently,5,5,195,22,9.560376862442883
using,use,12,11,195,351,9.492205359801304
using,technology,5,5,195,33,9.48903808072262
using,legal,6,6,195,83,9.46602142799765
using,create,5,5,195,42,9.433184845989103
using,new,6,6,195,90,9.430144391669053
using,going,7,5,195,139,9.423650629583552
using,gpt,5,5,195,67,9.288505093349912
using,write,5,5,195,72,9.261232163199807
using,no,7,7,195,195,9.200024608307993
using,that's,5,5,195,105,9.09310940439148
using,think,7,7,195,249,9.012939055707498
using,cannot,5,5,195,151,8.887299867250638
using,know,5,5,195,152,8.883136242309101
using,work,6,6,195,251,8.784062600800851
using,need,5,5,195,210,8.660149997115376
verify,check,5,5,28,70,10.707218250772154
verify,not,10,8,28,1297,7.950151450549439
verify,ai,5,5,28,1424,6.818102356891612
work,ai,103,80,251,1424,10.976555146950721
work,not,85,70,251,1297,10.81320117999329
work,use,25,22,251,351,10.410236513015022
work,does,17,15,251,188,10.309385711714981
work,doing,13,11,251,91,10.282587203255193
work,used,12,11,251,113,10.07716786052246
work,product,9,9,251,26,10.056182835393123
work,i've,11,10,251,94,10.028979066971766
work,i'm,13,12,251,168,9.98963328444174
work,cannot,12,11,251,151,9.933910809542228
work,it's,19,19,251,420,9.857758557243402
work,clients,8,7,251,42,9.805243145577752
work,humans,8,7,251,45,9.79054663437105
work,junior,7,6,251,24,9.704067113645582
work,make,10,10,251,150,9.674469668432442
work,check,8,7,251,70,9.673570512877696
work,write,8,8,251,72,9.664609645306076
work,time,11,11,251,197,9.652076696579693
work,without,8,8,251,79,9.633677785754184
work,did,8,8,251,100,9.54467277969544
work,job,8,6,251,100,9.54467277969544
work,literally,6,5,251,17,9.518873310263384
work,review,7,6,251,62,9.517336075124986
work,understand,7,7,251,62,9.517336075124986
work,think,11,11,251,249,9.493647333975211
work,likely,6,5,251,35,9.425091163942767
work,example,6,5,251,45,9.375509135092207
work,no,9,7,251,195,9.369025101522007
work,person,6,5,251,47,9.365793980258996
work,level,6,5,251,48,9.360960826523051
work,tools,7,6,251,100,9.352027701753045
work,know,8,7,251,152,9.345363971472032
work,probably,6,5,251,62,9.294943653788538
work,read,6,6,251,63,9.29034175182953
work,able,6,5,251,66,9.276623470581749
work,you're,7,5,251,119,9.275973461541291
work,point,6,6,251,74,9.24066659280534
work,need,8,8,251,210,9.151377059570663
work,replace,6,6,251,95,9.150334273084432
work,good,7,6,251,170,9.089678498991208
work,want,6,6,251,118,9.05748549466076
work,human,6,5,251,136,8.988772744576746
work,code,6,5,251,145,8.955605880641546
work,using,6,6,251,195,8.784062600800851
